country,avePrice,avePoints
Argentina,24.51,86.71
Armenia,14.50,87.50
Australia,35.44,88.58
Austria,30.76,90.10
Bosnia and Herzegovina,12.50,86.50
Brazil,23.77,84.67
Bulgaria,14.65,87.94
Canada,35.71,89.37
Chile,20.79,86.49
China,18.00,89.00
Croatia,25.45,87.22
Cyprus,16.27,87.18
Czech Republic,24.25,87.25
England,51.68,91.58
France,41.14,88.85
Georgia,19.32,87.69
Germany,42.26,89.85
Greece,22.36,87.28
Hungary,40.65,89.19
India,13.33,90.22
Israel,31.77,88.47
Italy,39.66,88.56
Lebanon,30.69,87.69
Luxembourg,23.33,88.67
Macedonia,15.58,86.83
Mexico,26.79,85.26
Moldova,16.75,87.20
Morocco,19.50,88.57
New Zealand,26.93,88.30
Peru,18.06,83.56
Portugal,26.22,88.25
Romania,15.24,86.40
Serbia,24.50,87.50
Slovakia,16.00,87.00
Slovenia,24.81,88.07
South Africa,24.67,88.06
Spain,28.22,87.29
Switzerland,85.29,88.57
Turkey,24.63,88.09
Ukraine,10.00,84.07
Uruguay,26.40,86.75
US,36.57,88.56
